,tweets,sentiment
25,"['fuck', 'muppet']",0
26,"['like', 'optimism']",1
27,"['cat', 'bloody', 'lucky', 'rspca', 'open', 'last', 'night', 'pouting', 'cat', 'face']",0
28,"['remember', 'well']",1
29,"['autocorrect', 'change', 'resent', 'greatly']",0
30,"['mean', 'watch', 'pilot', 'nice', 'see', 'group', 'actor', 'perform', 'without', 'story', 'line', 'drip', 'relentless', 'nihilism']",1
31,"['would', 'never', 'strategically', 'vote', 'someone', 'agree', 'lot', 'clinton', 'vote', 'base', 'fear', 'negativity']",0
32,"['much', 'trouble', 'think', 'rev', 'see', 'funny', 'side', 'project']",0
33,"['people', 'always', 'get', 'offended', 'everyone', 'situation', 'different', 'kid', 'mean', 'settle']",0
34,"['find', 'way', 'top']",1
35,"['hater', 'low', 'self', 'worth', 'self', 'righteous', 'delusion', 'cower', 'thought', 'change', 'change', 'inevitable']",0
36,"['every', 'morning', 'positive', 'head', 'start', 'relation']",1
37,"['save', 'order', 'risk', 'life', 'panic', 'stay', 'calm', 'rescued']",1
38,"['little', 'prick', 'sting', 'come', 'tennessee', 'get']",0
39,"['urgh', 'really', 'horrible', 'bad', 'person', 'stretch', 'imagination', 'hope', 'person', 'realizes']",1
40,"['young', 'people', 'bitter', 'old', 'contestant', 'probably', 'know', 'make', 'bakewell', 'tart', 'joy', 'face', 'tears', 'of', 'with']",0
41,"['live', 'mean', 'must', 'defeat', 'never', 'day', 'new', 'day', 'yesterday', 'decide', 'today', 'look', 'like']",1
42,"['wake', 'fresh', 'threat', 'sound', 'alert', 'pray', 'safety', 'security', 'everybody', 'city']",0
43,"['tara', 'would', 'swung', 'tara', 'kelly', 'piece', 'poo', 'of', 'pile']",0
44,"['accuse', 'india', 'violation', 'kashmir', 'refuse', 'name', 'india', 'role', 'foment', 'terror', 'pakistan', 'ttp', 'bla', 'mqm', 'shame']",0
45,"['week', 'till', 'pick', 'camera', 'though', 'think', 'group', 'cemetery', 'shoot', 'october', 'make']",1
46,"['yes', 'cheer', 'homecoming', 'game', 'heart', 'red']",1
47,"['shy', 'freshman', 'year', 'guy', 'introduce', 'ask', 'speak', 'english']",0
48,"['love', 'happiness', 'sadness', 'feeling', 'dependent', 'another', 'person']",1
49,"['good', 'one', 'reporter', 'quit']",0
50,"['want', 'start', 'biker', 'gang', 'together', 'online', 'biker', 'dlc', 'come']",1
51,"['lol', 'wow', 'gon', 'say', 'really', 'aha', 'see', 'chris', 'nah', 'dont', 'even', 'snap', 'anymore', 'dude']",0
52,"['possible', 'change', 'mess', 'best', 'stress', 'difficult', 'tell', 'part', 'despair', 'circumstantial', 'drug']",0
53,"['ive', 'felt', 'surprisingly', 'gloomy', 'bad', 'scout', 'today', 'recognize', 'ring', 'yeah', 'dint', 'spend', 'many', 'gem']",1
54,"['also', 'definitely', 'still', 'bitter', 'yellow', 'ranger', 'asian', 'asian', 'representation', 'hollywood', 'essentially', 'shrug', 'anyway']",0
55,"['irony', 'protest', 'kind', 'stuff', 'orwellian', 'nightmare', 'think', 'fight']",0
56,"['nah', 'way', 'horrible']",0
57,"['think', 'beck', 'much', 'terror', 'pak', 'ourself', 'leader', 'forget', 'difference', 'btw', 'leader', 'terrorist']",0
58,"['angel', 'delight', 'everything']",0
59,"['puzzle', 'invest', 'open', 'portland', 'feudal', 'population', 'correlative', 'straight', 'snort', 'infuriate', 'xlzjyhg']",0
60,"['dire', 'need', 'worship', 'session', 'let', 'everything']",1
61,"['brb', 'sulk', 'bed', 'friday']",0
62,"['believe', 'gon', 'start', 'sing', 'snap', 'story', 'tractor', 'switch', 'little', 'bit']",0
63,"['first', 'time', 'sober', 'birthday', 'year']",1
64,"['weak', 'people', 'revenge', 'strong', 'people', 'forgive', 'intelligent', 'people', 'ignore']",1
65,"['rage', 'rage', 'come', 'soon', 'keep', 'post']",0
66,"['proud', 'understand', 'show', 'love', 'think', 'compassion', 'cloud', 'way']",1
67,"['start', 'watch', 'glee', 'week', 'addict', 'eyes', 'with', 'rolling', 'face']",0
68,"['omg', 'terrible']",0
69,"['cigarette', 'burn', 'laura', 'hand', 'angle', 'chin', 'purse', 'lips', 'gorgeous', 'transition']",0
70,"['tomorrow', 'last', 'episode', 'despair', 'arc', 'much', 'shit', 'gon', 'happen', 'emotionally', 'prepared']",0
71,"['jorge', 'deserve', 'honestly', 'weak']",0
72,"['modern', 'family', 'never', 'fail', 'cheer', 'especially', 'phil']",1
73,"['sometimes', 'get', 'sit', 'back', 'proud', 'pleasing', 'well']",1
74,"['follow', 'snapshot', 'carlabtst', 'ghost']",1
75,"['shit', 'even', 'begin', 'describe', 'fiery', 'little', 'demon', 'straight', 'hell', 'face', 'moon', 'new', 'with', 'full']",0
76,"['way', 'hard', 'get', 'discourage']",0
77,"['ditto', 'amazing', 'atmosphere']",0
78,"['somewhere', 'rpt', 'the', 'pakis', 'afraid', 'ted', 'ask', 'shut', 'corgi', 'oblige', 'need', 'hound', 'time', 'revive']",0
79,"['interview', 'preparation', 'hate', 'talk', 'one', 'dull', 'subject', 'matter']",0
80,"['manchester', 'derby', 'home']",0
81,"['probably', 'useful', 'woman', 'deal', 'read', 'article', 'woman', 'harass', 'subway']",0
82,"['yep', 'peep', 'always', 'cheer', 'others', 'fine', 'drool', 'ebbo']",1
83,"['maybe', 'transcended', 'medium', 'would', 'cover']",0
84,"['want', 'playful', 'relationship', 'nme', 'kick', 'couch']",0
85,"['romero', 'fuck', 'dreadful', 'like', 'seriously', 'month', 'old', 'better']",0
86,"['day', 'make']",1
87,"['since', 'update', 'loses', 'power', 'nearly', 'faster']",0
88,"['take', 'granted', 'misogyny', 'air', 'treat', 'normal', 'angry', 'response', 'pathological']",0
89,"['cloud', 'consider', 'use', 'camera', 'star', 'trail', 'eyepiece', 'projection']",1
90,"['helluva', 'lot', 'animate', 'actual', 'game']",1
91,"['see', 'see', 'many', 'people', 'mourn', 'loss', 'surprise', 'see', 'tweet', 'suppose', 'old']",0
92,"['anger', 'resentment', 'hatred', 'destroyer', 'fortune', 'today']",1
93,"['optimism', 'lead', 'success', 'bill', 'kerr']",1
94,"['joke', 'cut', 'internet', 'early', 'mistake', 'reinstate', 'longer', 'need', 'engineer', 'pouting', 'face']",0
95,"['sucker', 'pine', 'wan', 'rake', 'wan', 'pile', 'sucker', 'pine']",0
96,"['gutted', 'drop', 'one', 'earring', 'sink', 'school']",0
97,"['quarterback', 'wreck', 'every', 'time']",1
98,"['ban', 'harm', 'many', 'people', 'disabled', 'veteran', 'people']",0
99,"['happy', 'birthday', 'stephen', 'king', 'man', 'responsible', 'best', 'horror', 'past', 'year', 'whole', 'bunch', 'bad']",0
100,"['courage', 'always', 'rise', 'every', 'attempt', 'intimidate', 'elizabeth', 'bennett', 'pride', 'prejudice']",1
101,"['still', 'sunk', 'see', 'joe', 'next', 'month', 'grateful', 'excite', 'shit']",1
102,"['good', 'day', 'work', 'get', 'shake', 'jim', 'lehrer', 'hand', 'thanks', 'still', 'kick', 'shy', 'hug']",0
103,"['bore', 'fat', 'full', 'ridiculously', 'overweight', 'roll', 'galore']",0
104,"['sunderland', 'time', 'line', 'quite', 'funny', 'doom', 'gloom', 'face', 'long', 'trip', 'midweek']",1
105,"['luck', 'rest', 'fall', 'anything', 'like', 'today', 'think', 'like', 'season']",1
106,"['flirt', 'simper', 'pout', 'repeat', 'yuck']",0
107,"['truism', 'likewise', 'rest', 'bed', 'racial', 'resentment', 'make', 'knowingly', 'intentionally', 'long', 'trump', 'get', 'politics']",0
108,"['harm', 'guy', 'wish', 'guy', 'brings', 'anger', 'life', 'see', 'nme', 'like', 'darkness', 'fill', 'know']",0
109,"['soon', 'badly', 'want', 'dye', 'hair', 'dark', 'never', 'dark', 'soon', 'torn', 'face', 'crying', 'loudly']",0
110,"['tear', 'eye', 'dry', 'burn', 'like', 'wire', 'lightbulb']",0
111,"['hell', 'fury', 'like', 'woman', 'scorn', 'william', 'congreve']",0
112,"['agree', 'current', 'ultra', 'leave', 'democratic', 'party', 'lose', 'lot', 'member', 'include', 'switch', 'repub.']",0
113,"['tried', 'get', 'earlier', 'flt', 'day', 'turn', 'away', 'bcu', 'late', 'agent', 'let']",0
114,"['since', 'friend', 'peres', 'want', 'offend']",1
115,"['wish', 'could', 'someday', 'come', 'spain', 'play', 'believe', 'see']",0
116,"['worst', 'customer', 'service', 'lack', 'professionalism', 'service', 'provider']",0
117,"['val', 'get', 'little', 'big', 'hike', 'boot', 'bakewell', 'little', 'terror']",0
118,"['cheery', 'a', 'face', 'blowing', 'kiss', 'winking']",1
119,"['bridget', 'jones', 'baby', 'bloody', 'hilarious', 'cold', 'smiling', 'face', 'sweat', 'mouth', 'with', '&', 'open']",1
120,"['really', 'strange', 'awful', 'dream', 'last', 'night', 'even', 'eat', 'cheese', 'bed']",0
121,"['bts', '화양연화', 'trilogy', 'time', 'fav', 'quite', 'gloomy', 'beautiful', 'well', 'sparkles', 'raising', 'hands']",0
122,"['brad', 'pitt', 'investigate', 'child', 'abuse', 'get', 'really']",0
123,"['watch', 'amaze', 'live', 'broadcast', 'bos']",1
124,['post'],0
125,"['prudence', 'suggest', 'bump', 'week', 'view', 'skepticism', 'medium', 'hrc', 'axis']",0
126,"['almost', 'odd', 'cheerfulness', 'big', 'bos', 'offer', 'muzzle', 'flash', 'blinding', 'accidental', 'guy', 'become', 'best', 'friend']",1
127,"['thank', 'disney', 'theme', 'episode', 'let', 'discover', 'amazing']",0
128,"['need', 'new', 'outlet']",0
129,"['watch', 'amaze', 'live', 'broadcast']",1
130,"['watch', 'raise', 'hope', 'hubs', 'time', 'totally', 'forget', 'hilarious', 'joy', 'face', 'tears', 'of', 'with']",0
131,"['wow', 'hear', 'forever', 'random', 'great']",0
132,"['mean', 'like', 'user', 'despair', 'someone', 'driver']",0
133,"['love', 'honesty', 'best', 'policy']",1
134,"['offend', 'actually']",0
135,"['room', 'would', 'russell', 'howard', 'tom', 'odell', 'michael', 'bible']",0
136,"['gaaaaaaaad', 'stay', 'london']",0
137,"['may', 'optimism', 'tomorrow', 'foundation', 'today']",1
138,"['air', 'radio', 'film', 'lot', 'fan', 'pond']",1
139,"['and', 'also', 'try', 'find', 'couture', 'fuck', 'nightmare']",0
140,"['glad', 'see', 'fun', 'sun', 'water', 'sport', 'always', 'fun', 'challenge', 'exhilarate']",1
141,"['spent', 'fucking', 'hour', 'still', 'get', 'dam', 'siva', 'fragment', 'fellwinters', 'peak', 'mountain']",0
142,"['actually', 'heel', 'campus', 'scare']",0
143,"['smart', 'way', 'start', 'invest', 'smart', 'source', 'firm']",1
144,"['omg', 'actually', 'think', 'jump']",0
145,"['whole', 'team', 'limit', 'field']",1
146,"['happy', 'birthday', 'lose']",0
147,"['see', 'happy', 'exterior', 'hopelessness', 'sometimes', 'feel', 'inside']",0
148,"['night', 'sparkle', 'let', 'wonderstruck', 'blush', 'way', 'home']",1
149,"['current', 'run', 'superman', 'continue', 'delight', 'feel', 'love', 'pour', 'everyone', 'creative', 'team']",1
150,"['people', 'speed', 'limit', 'irritate']",0
151,"['with', 'soul', 'notes', 'musical']",0
152,"['last', 'product', 'buy', 'promise', 'absolutely']",1
153,"['ohh', 'come', 'sense', 'terror', 'support', 'stone', 'pelt', 'vandalise', 'ppl', 'gather', 'protest', 'announce']",0
154,"['huh', 'always', 'fault']",0
155,"['know', 'trust', 'word', 'soft', 'ignore', 'anger', 'focus', 'hurt', 'beneath', 'know', 'screw']",0
156,"['never', 'anxious', 'election', 'life']",0
157,"['elizabeth', 'smith', 'say', 'cheery', 'smile', 'pleasure', 'meet', 'sir', 'travel']",1
158,"['fav', 'make', 'like', 'use', 'see', 'great', 'one', 'year']",0
159,"['james', 'fuck']",0
160,"['like', 'bridge', 'divide', 'right', 'left', 'twitter', 'say', 'new', 'tweet', 'truncate', 'thing', 'fucking', 'awful']",0
161,['shy'],0
162,"['happen', 'need', 'smoke']",0
163,"['hahahahahaha', 'gosh', 'hilarious', 'black', 'man', 'try', 'keep', 'racism', 'alive', 'get', 'man']",1
164,"['joes', 'started', 'sing', 'star', 'joe', 'get', 'angry', 'sing', 'right', 'start', 'angrily', 'sing', 'back']",0
165,"['chris', 'ate', 'mac', 'cheese', 'emma', 'eat', 'taffy']",0
166,"['remember', 'heyday', 'lady', 'range', 'age', 'say', 'mid', 'early']",0
167,"['house', 'get', 'intestine', 'scare', 'poop', 'shit', 'pant']",0
168,"['come', 'work', 'reason', 'could', 'stay', 'bed', 'pistol', 'weary', 'face']",0
169,"['old', 'lady', 'cray', 'cray']",0
170,"['ndo', 'redneck', 'intellectually', 'intimidate', 'force', 'dance', 'clown']",0
171,"['name', 'anxiety', 'shaun']",0
172,"['sometimes', 'like', 'talk', 'sadness', 'time', 'want', 'distracted', 'friend', 'laughter', 'shop', 'eat']",0
173,"['noooooo', 'without', 'buy']",0
174,"['get', 'book', 'meeting', 'starbuck', 'nola', 'josh', 'say', 'terrific']",1
175,"['bright', 'side', 'music', 'theory', 'teacher', 'pocket', 'dab', 'say', 'know', 'hip', 'walk', 'away', 'joy', 'face', 'crying', 'tears', 'of', 'with', 'loudly']",0
176,"['well', 'one', 'two', 'way', 'either', 'get', 'accept', 'change', 'mope']",0
177,"['see', 'happy', 'exterior', 'hopelessness', 'sometimes', 'feel', 'inside']",0
178,"['morning', 'course', 'sunny', 'monday', 'morning', 'cheerfully', 'welcome', 'back', 'work']",1
179,"['mess', 'mind', 'anticipate', 'next', 'episode']",0
180,"['although', 'war', 'guise', 'combat', 'terrorism', 'fact', 'war', 'poverty', 'ignorance', 'stupidity']",1
181,"['god', 'need', 'new', 'goal', 'keeper', 'horrific']",0
182,"['old', 'age', 'hope', 'rest', 'destine', 'become', 'meat-eaters']",0
183,"['want', 'green', 'potato', 'bottle', 'tag', 'still', 'plus', 'soak', 'wet', 'item', 'deliver', 'win', 'today', 'sadly']",0
184,"['everybody', 'worry', 'stop', 'well', 'really', 'easy', 'way', 'stop', 'participate', 'noam', 'chomsky']",1
185,"['wow', 'almost', 'mobile', 'store', 'san', 'diego', 'note', 'replacement', 'need', 'get', 'mine', 'replace']",0
186,"['worry', 'felt', 'safe']",0
187,"['sadly', 'bed', 'announce', 'anything', 'thank', 'love']",0
188,"['look', 'average', 'player', 'play', 'min', 'pine', 'nazi', 'rafael', 'rip']",1
189,"['every', 'minute', 'say', 'nope', 'nope', 'move', 'gtf', 'thank']",0
190,"['wish', 'really', 'truly', 'wish', 'modicum', 'banter']",1
191,"['huge', 'congratulation', 'nicole', 'win', 'big', 'brother', 'sorry', 'sorry']",1
192,"['nothing', 'bad', 'user', 'driver', 'drive']",0
193,"['leave', 'rule', 'number', 'carpet', 'clean']",0
194,"['say', 'say', 'america', 'really', 'fortunate', 'black', 'people', 'want', 'equality', 'revenge']",0
195,"['know', 'ion', 'play', 'shit', 'bout', 'weary', 'brother']",0
196,"['code', 'grimrail', 'make', 'want', 'eat', 'angry', 'bee']",0
197,"['happy', 'birthday']",0
198,"['assure', 'laughter', 'increase', 'anger', 'cost', 'arrogance', 'westminster']",0
199,"['people', 'even', 'debate', 'race', 'inequality', 'within', 'justice', 'system', 'like', 'non', 'existent', 'try', 'aggravate']",0
200,"['contain', 'depression', 'new', 'economic', 'engine', 'say', 'joel']",0
201,"['solid', 'start', 'hop', 'good']",1
202,"['huff', 'louder']",0
203,"['lol', 'think', 'maybe', 'decide', 'levity']",0
204,"['certain', 'hilarity', 'people', 'angry', 'protest', 'national', 'anthem', 'flag', 'act', 'cover', 'amendment']",0
205,"['extremely', 'playful']",1
206,"['love', 'lizzy', 'warren', 'late', 'rage', 'wall', 'street']",0
207,"['want', 'pity', 'instructor', 'like', 'understand', 'truly', 'try', 'despite', 'circumstance', 'make', 'discourage']",0
208,"['communitysleepcoach', 'look', 'make', 'human', 'find', 'odd', 'position', 'seek']",0
209,['sigh'],0
210,"['spend', 'campaign', 'divide', 'people', 'pit', 'message', 'fear', 'resent']",0
211,"['stop', 'smile', 'rude', 'funny', 'mean']",0
212,"['atlanta', 'rockies', 'back', 'combine', 'atrocious', 'team']",0
213,"['see', 'hover', 'block', 'button', 'today', 'much', 'glee']",1
214,"['experience', 'play', 'role', 'education', 'preparedness', 'fear']",1
215,"['appointment', 'book', 'today', 'wait', 'day', 'nobody', 'show', 'also', 'request', 'call', 'back', 'never', 'get', 'one']",0
216,"['always', 'indeed', 'wonderful', 'experience', 'fly', 'guy', 'today']",1
217,"['summer', 'officially', 'end', 'today']",0
218,"['seriously', 'dude', 'buy', 'bubble', 'tape', 'phone', 'break', 'another', 'phone']",0
219,"['happy', 'want', 'others', 'like', 'let', 'happiness', 'choice', 'life', 'please', 'everybody']",1
220,"['holy', 'shit', 'hell', 'happen', 'lip', 'fix', 'shit']",0
221,"['grateful', 'hungry', 'people', 'life', 'hungry', 'learn', 'change', 'grow', 'help', 'etc', 'sure', 'anybody', 'well']",1
222,"['final', 'vestige', 'childhood', 'dash', 'shoal', 'hear', 'house', 'cover', 'tracy', 'chapman', 'fast', 'car', 'dayton']",0
223,"['see', 'gleeful', 'look', 'face', 'criminal', 'king', 'use', 'word', 'denigrate', 'black']",0
224,"['maybe', 'entire', 'russian', 'team', 'test', 'positive', 'meconium', 'north', 'american', 'get', 'replace']",0
225,"['hey', 'folk', 'sorry', 'anything', 'offensive', 'get', 'post', 'yesterday', 'account', 'get', 'hacked', 'fix', 'though', 'hope']",0
226,"['get', 'discourage', 'early', 'get', 'overwhelming', 'keep', 'reading', 'use', 'cue', 'card', 'get', 'good', 'eyes', 'with', 'smiling', 'face']",1
227,"['need', 'bit', 'cheer', 'terrible', 'day']",1
228,"['say', 'release', 'ticket', 'set', 'alarm', 'miss']",1
229,"['lucky', 'bad', 'pitcher', 'elkracken']",1
230,"['dream', 'try', 'steal', 'kidney']",0
231,"['make', 'world']",0
232,"['afraid', 'take', 'chance', 'peace', 'teach', 'peace', 'live', 'peace', 'peace', 'last', 'wordvof', 'history', 'pope', 'john', 'paul']",1
233,"['hater', 'teach', 'hate', 'show', 'love', 'good', 'quote', 'comment', 'tiff', 'treat']",0
234,"['nervous', 'test', 'rip']",0
235,"['twang', 'china', 'first', 'space', 'laboratory', 'come', 'fiery', 'end', 'late', 'average', 'decommission', 'satellite', 'either', 'burn']",0
236,['deserve'],1
237,"['main', 'hesitation', 'plus', 'size', 'apple', 'get', 'plus', 'size', 'think', 'asp', 'jump']",1
238,"['look', 'car', 'come', 'wesszzz']",0
239,"['ahead', 'poll', 'trump', 'dismal', 'performance', 'upcoming', 'debate', 'easy', 'win', 'hillary']",1
240,"['ryan', 'gosling', 'eva', 'mendes', 'finally', 'joyful', 'funny', 'dont', 'bos', 'dont', 'argue', 'everything', 'kid', 'mini', 'car', 'trip', 'focus', 'love']",0
241,"['april', 'keep', 'good', 'work']",1
242,"['hey', 'never', 'know', 'channel', 'version', 'might', 'actually', 'quite', 'good', 'advert', 'end', 'world']",1
243,"['turn', 'game', 'want', 'play', 'madden', 'load', 'game', 'turn']",0
244,"['embarrass', 'saw', 'like', 'knvfkkjg', 'think', 'stalker', 'start', 'wave', 'cheerfully', 'invite', 'weary', 'face']",0
245,"['wow', 'one', 'dads', 'top', 'favorite', 'throwback', 'rapper', 'die', 'fiery', 'car', 'crash', 'today', 'atlanta', 'sad', 'sad', 'mask', 'medical', 'with', 'face']",0
246,"['wait', 'listen', 'new', 'single', 'mystery', 'new', 'album', 'delicious', 'food', 'savouring', 'face']",0
247,"['future', 'bright']",1
248,"['let', 'start']",0
249,"['anybody', 'know', 'good', 'place', 'book', 'show', 'short', 'super', 'short', 'notice']",1
250,['space'],1
251,"['heart', 'pure', 'smile', 'bright', 'love', 'more', 'number', 'star', 'night', 'kindly', 'follow', 'please', 'harry', 'sparkling', 'heart']",1
252,"['finally', 'leave', 'first', 'job', 'soon', 'work', 'since', 'kind', 'bitter', 'sweet']",0
253,"['life', 'order', 'complete', 'amazing', 'life', 'journey', 'successfully']",1
254,"['get', 'start', 'town', 'centre', 'use', 'every', 'week', 'month']",0
255,"['hope', 'sleep', 'nightmare', 'bakewell', 'tart']",0
256,"['brando', 'cure', 'depression']",0
257,"['rejoice', 'birth', 'grieve', 'funeral', 'person', 'involve', 'mark', 'twain']",1
258,[],1
259,"['take', 'make', 'new', 'movie', 'like', 'like', 'indian', 'army', 'take', 'revenge']",1
260,"['highlight', 'would', 'imagine', 'second', 'highlight', 'whole', 'season', 'far']",0
261,"['dislike', 'people', 'get', 'offend', 'little', 'shit']",0
262,"['look', 'adorable', 'awe']",0
263,"['awe', 'miss']",0
264,"['sadly', 'think', 'see', 'tour', 'fun', 'gon', 'rock', 'tone', 'popper', 'heart', 'OK', 'light', 'hand', 'skin', 'blue', 'party']",0
265,"['give', 'kendrick', 'lamar', 'eat', 'barbecue']",1
266,"['shine', 'good', 'deed', 'weary', 'world', 'roald', 'dahl', 'charlie', 'chocolate', 'factory']",1
267,"['new', 'play', 'tonight', 'pretty', 'much', 'blind', 'run', 'played', 'game', 'maybe', 'get', 'level']",0
268,"['moron', 'such', 'lackadaisical']",0
269,"['road', 'rage', 'give', 'anxiety']",0
270,"['rooney', 'yard', 'pace', 'league', 'cup', 'game', 'northampton', 'town', 'let', 'sink', 'moment']",1
271,"['brings', 'back', 'great', 'memory', 'hilarity']",0
272,"['god', 'full', 'shilling', 'seriously', 'need', 'major', 'rethink', 'lab', 'give', 'lifetime']",0
273,"['significantly', 'smile', 'let']",0
274,"['try', 'home', 'tonight', 'run', 'run', 'champ']",0
275,"['drink', 'watch', 'bad', 'way', 'cheer']",1
276,"['horrific', 'situation', 'get', 'bad', 'trump', 'elect', 'vote', 'hillary']",0
277,"['many', 'chance', 'show', 'look', 'lively', 'good', 'shot', 'tip', 'bar', 'end']",0
278,"['need', 'advice', 'get', 'rut']",1
279,"['health', 'think', 'depression', 'feel', 'like']",0
280,"['easy', 'spot', 'parade', 'tiny', 'weans', 'pensive', 'jammie', 'really', 'hilarious']",0
281,"['mattmilne', 'thank', 'let', 'know', 'please', 'hesitate', 'contact', 'future', 'assistance', 'need', 'thank']",1
282,"['site', 'would', 'interested', 'write', 'guest', 'article', 'review', 'really', 'crave', 'literary', 'outlet', 'lately']",0
283,"['worry', 'payment', 'problem', 'may', 'never', 'joyce', 'meyer']",1
284,"['muscle', 'man', 'huge', 'heart', 'mess', 'brain', 'heart']",0
285,"['follow', 'amaze', 'australian', 'author']",1
286,"['trump', 'say', 'refugee', 'situation', 'terrorism', 'quality', 'life', 'take', 'note']",0
287,"['wear', 'black', 'tomorrow', 'mourn', 'broken', 'heart', 'face', 'crying', 'loudly']",0
288,"['decode', 'blue', 'one', 'get', 'blue']",0
289,"['right', 'civil', 'war', 'start', 'wall', 'wall', 'terrorism', 'fancy', 'muzzy', 'chance']",0
290,"['thank', 'ibama', 'cut', 'elate', 'back', 'home', 'heart-eyes', 'with', 'smiling', 'face']",1
291,"['laugh', 'loud', 'time', 'shake', 'head', 'really', 'cheesy']",0
292,"['what', 'trailerrrr', 'completely', 'blown']",1
293,"['bad', 'slash', 'price', 'send', 'refugee', 'camp', 'like', 'team', 'gear', 'lose', 'championship']",0
294,"['blast', 'gothcore', 'music', 'listen', 'around', 'bcu', 'spooky', 'sigh']",0
295,"['pretty', 'clear', 'stand', 'tolerance', 'habitual', 'liar', 'trump', 'fan', 'either', 'citizen']",0
296,"['show', 'biceps', 'scare']",0
297,['glee'],0
298,"['awake', 'seriously', 'bad', 'throat', 'gland', 'feel', 'huuuuuuuge', 'uni', 'soon', 'face', 'with', 'medical', 'mask', 'weary']",0
299,"['courage', 'cowardly', 'dog', 'like', 'american', 'horror', 'story', 'kid']",0
300,['awful'],0
301,"['glorious', 'bazigaga', 'work', 'lose', 'relative', 'genocide', 'peacebuilding', 'give', 'optimism', 'within', 'power']",1
302,"['finn', 'sing', 'fight', 'feel', 'shower', 'spy', 'one', 'best', 'scene', 'show']",1
303,"['always', 'mean', 'person', 'sometimes', 'simply', 'mean', 'enough', 'face']",1
304,"['childhood', 'experience', 'inform', 'adult', 'relationship', 'associative', 'memory', 'question', 'ability', 'process']",0
305,"['texan', 'astro', 'shut', 'tonight', 'houston', 'back', 'normal']",0
306,"['nick', 'fury']",0
307,"['dream', 'say', 'something', 'really', 'retarded', 'twitter', 'get', 'like', 'retreat']",0
308,"['get', 'start', 'town', 'centre', 'use', 'every', 'week', 'month']",0
309,"['race', 'advance', 'extra', 'achievement', 'individual', 'individual', 'charles', 'towne']",1
310,"['scrap', 'rage', 'instead']",0
311,"['told', 'wife', 'chance', 'would', 'sydney', 'team', 'afl', 'grand', 'final', 'response', 'two', 'sydney', 'afl', 'team']",1
312,"['think', 'may']",0
313,"['wow', 'really', 'sadden', 'terrible']",0
314,"['meet', 'new', 'people', 'grow', 'reality', 'people', 'disgust', 'fake', 'lose', 'cheerfulness', 'start']",0
315,"['hate', 'black', 'lady', 'paint', 'white', 'internet', 'laugh', 'like']",0
316,"['believe', 'mint', 'fest', 'two', 'day', 'away', 'hate', 'outfit', 'see-no-evil', 'weary', 'monkey', 'face']",0
317,"['urgent', 'need', 'get', 'new', 'job', 'constant', 'gloom', 'current', 'one', 'get', 'bit', 'ridiculous']",0
318,"['glasgow', 'girl', 'real', 'tonic', 'eclectic', 'range', 'song', 'barb', 'humour', 'eloquence', 'fiery', 'rage', 'injustice']",1
319,"['eat', 'longer', 'insult']",0
320,"['girl', 'playful', 'childlike', 'seem', 'lovely', 'relationship', 'imagine', 'serious', 'convoy', 'cute', 'heart-eyes', 'with', 'smiling', 'face']",0
